id_movimiento;id_empleado;id_producto;fecha;hora;cantidad;area
1;18;105;2025-04-01;16:07:00;4;E5
2;13;102;2025-04-03;19:00:00;1;B2
3;17;105;2025-04-03;12:43:00;4;A1
4;2;101;2025-04-10;19:08:00;2;C3
5;17;105;2025-04-01;09:35:00;4;E5
6;14;101;2025-04-03;19:16:00;2;A1
7;4;103;2025-04-04;16:44:00;5;A1
8;13;102;2025-04-06;16:14:00;3;E5
9;17;105;2025-04-10;20:47:00;2;A1
10;3;103;2025-04-09;19:39:00;2;B2
11;15;101;2025-04-02;20:23:00;3;B2
12;9;103;2025-04-05;21:14:00;2;B2
13;8;102;2025-04-10;09:12:00;4;A1
14;1;101;2025-04-05;10:33:00;2;B2
15;1;103;2025-04-01;20:24:00;5;E5
16;19;103;2025-04-08;16:49:00;2;E5
17;4;103;2025-04-05;19:57:00;2;B2
18;17;102;2025-04-08;11:12:00;3;D4
19;3;105;2025-04-07;09:21:00;5;D4
20;6;104;2025-04-08;09:01:00;4;C3
21;4;104;2025-04-09;21:30:00;3;B2
22;12;102;2025-04-03;20:01:00;5;A1
23;19;102;2025-04-10;15:47:00;3;A1
24;6;102;2025-04-03;21:55:00;4;D4
25;10;101;2025-04-07;12:52:00;5;A1
26;17;104;2025-04-09;08:10:00;5;C3
27;4;101;2025-04-04;08:38:00;4;D4
28;3;103;2025-04-05;11:11:00;5;B2
29;2;103;2025-04-02;11:35:00;1;E5
30;2;101;2025-04-08;11:54:00;1;D4
31;13;102;2025-04-05;15:26:00;3;C3
32;7;103;2025-04-06;18:20:00;4;A1
33;1;101;2025-04-05;08:26:00;3;D4
34;13;101;2025-04-08;15:40:00;5;A1
35;18;103;2025-04-05;09:45:00;3;B2
36;7;103;2025-04-01;20:43:00;5;E5
37;1;104;2025-04-05;08:06:00;2;A1
38;17;102;2025-04-10;10:09:00;5;B2
39;5;103;2025-04-07;17:42:00;3;B2
40;19;105;2025-04-09;12:42:00;3;A1
